case_id,split,passage,reference,rationale,human_status,reviewer,correction_or_note
catalog-v1-01-01,calibration,Luminária Aurora. Material: alumínio. Peso líquido: 450 g. Fabricada no Brasil.,"{""material"": ""alumínio"", ""weight_g"": 450, ""country"": ""BR""}",Os três atributos estão explícitos.,pending,,
catalog-v1-01-02,calibration,"Caneca Horizonte: cerâmica, 320 g, fabricada em Portugal.","{""material"": ""cerâmica"", ""weight_g"": 320, ""country"": ""PT""}",Copiar os atributos declarados; PT representa Portugal.,pending,,
catalog-v1-01-03,calibration,Bolsa Brisa: algodão. Peso: 180 g. Fabricação: Índia.,"{""material"": ""algodão"", ""weight_g"": 180, ""country"": ""IN""}",IN identifica o país de fabricação declarado.,pending,,
catalog-v1-02-01,calibration,"Bandeja Serra: madeira, 600 g. País de fabricação não informado.","{""material"": ""madeira"", ""weight_g"": 600, ""country"": null}","País não informado exige null, com a chave presente.",pending,,
catalog-v1-02-02,calibration,Cesto Vento: palha. Peso indisponível. Não há informação sobre fabricação.,"{""material"": ""palha"", ""weight_g"": null, ""country"": null}",Peso e país ausentes permanecem null.,pending,,
catalog-v1-02-03,calibration,"Acessório Nuvem. Não há dados de material, peso ou país de fabricação.","{""material"": null, ""weight_g"": null, ""country"": null}",Abster-se em todos os campos; não usar string vazia ou N/A.,pending,,
catalog-v1-03-01,calibration,"Vaso Lago: vidro. Peso líquido: 0,8 kg. Fabricado na Polônia.","{""material"": ""vidro"", ""weight_g"": 800, ""country"": ""PL""}","0,8 kg corresponde a 800 g.",pending,,
catalog-v1-03-02,calibration,"Banco Arco: madeira de carvalho. Massa: 3,2 kg. Fabricado na Dinamarca.","{""material"": ""madeira de carvalho"", ""weight_g"": 3200, ""country"": ""DK""}","3,2 kg corresponde a 3200 g.",pending,,
catalog-v1-03-03,calibration,Caixa Folha: bambu. Peso: 0.35 kg. Fabricada no Vietnã.,"{""material"": ""bambu"", ""weight_g"": 350, ""country"": ""VN""}",Ponto decimal também é válido: 0.35 kg = 350 g.,pending,,
catalog-v1-04-01,calibration,"Pegador Delta: borracha, fabricado no México. Duas fichas igualmente válidas informam 50 g e 70 g; nenhuma prevalece.","{""material"": ""borracha"", ""weight_g"": null, ""country"": ""MX""}",Conflito não resolvido no peso exige null; os outros campos são conhecidos.,pending,,
catalog-v1-04-02,calibration,"Gancho Trama: resina, fabricação espanhola. As fichas vigentes discordam entre 45 g e 60 g, sem prioridade.","{""material"": ""resina"", ""weight_g"": null, ""country"": ""ES""}",Não escolher arbitrariamente um dos pesos.,pending,,
catalog-v1-04-03,calibration,"Porta-copos Pedra: mármore, fabricado na Itália. Peso líquido: 110 g em uma ficha e 130 g em outra, ambas sem data ou prioridade.","{""material"": ""mármore"", ""weight_g"": null, ""country"": ""IT""}","Dois valores incompatíveis, sem critério de desempate.",pending,,
catalog-v1-05-01,calibration,"Garrafa Cume: aço inoxidável, fabricada na China. Peso líquido do produto: 275 g. Peso com embalagem: 410 g.","{""material"": ""aço inoxidável"", ""weight_g"": 275, ""country"": ""CN""}","Selecionar 275 g, excluindo embalagem.",pending,,
catalog-v1-05-02,calibration,Cobertor Pampa: lã. Peso líquido: 900 g. Peso para transporte: 1200 g. Fabricado no Nepal.,"{""material"": ""lã"", ""weight_g"": 900, ""country"": ""NP""}",Peso para transporte não é o peso do produto.,pending,,
catalog-v1-05-03,calibration,"Capa Jardim: algodão, fabricação brasileira. Peso líquido: 95 g. Peso bruto embalado: 150 g.","{""material"": ""algodão"", ""weight_g"": 95, ""country"": ""BR""}",Usar o peso líquido declarado.,pending,,
catalog-v1-06-01,calibration,"Produto vendido: um porta-copos Orla de cortiça, 30 g por unidade. Conjunto de quatro: 120 g. Fabricação portuguesa.","{""material"": ""cortiça"", ""weight_g"": 30, ""country"": ""PT""}",O SKU é uma unidade; o peso do conjunto não se aplica.,pending,,
catalog-v1-06-02,calibration,SKU: uma colher Raiz de bambu. Cada colher pesa 18 g; caixa com seis pesa 108 g de produto. Fabricada na China.,"{""material"": ""bambu"", ""weight_g"": 18, ""country"": ""CN""}",Extrair o peso de uma colher.,pending,,
catalog-v1-06-03,calibration,"Item anunciado: um copo Solar de vidro, 160 g. Kit com dois copos: 320 g. Fabricado na Polônia.","{""material"": ""vidro"", ""weight_g"": 160, ""country"": ""PL""}","O item anunciado é um copo, não o kit.",pending,,
